"Product ID [Non Editable]","Variant ID [Non Editable]","Product Type [Non Editable]","Product Page","Product URL","Title","Description","SKU","GTIN","MPN","Option Name 1","Option Value 1","Option Name 2","Option Value 2","Option Name 3","Option Value 3","Option Name 4","Option Value 4","Option Name 5","Option Value 5","Option Name 6","Option Value 6","Price","Sale Price","On Sale","Stock","Categories","Tags","Weight","Length","Width","Height","Visible","Hosted Image URLs"
"","07dbfa6d-ad09-4724-b67c-5e6d28ed11dc","","","","","","GRA-APP-5","","","Levels","Application Level 5","","","","","","","","","","","450.00","0.00","No","Unlimited","","","","","","","",""
"","8cfe76de-57c4-4dfc-835f-be318ffe64ff","","","","","","GRA-APP-6","","","Levels","Application Level 6","","","","","","","","","","","800.00","0.00","No","Unlimited","","","","","","","",""
"68abe24c78e7345c36e3d386","ef24baa2-414a-4e79-8355-d3fdbe26d79e","SERVICE","products","grading-student","GRADING : Student Levels","","GRA-STU-ENT","","","Level","Entry Level","","","","","","","","","","","60.00","0.00","No","Unlimited","/gradings","Student Grading, Grading","","","","","Yes","https://images.squarespace-cdn.com/content/v1/6779aa493bf8f707711e50e7/cebd6da2-3e0b-4552-9505-5a1b7a8ddc4b/student+grading.png"
"","a016e0ac-c801-4cce-8998-375072e0d216","","","","","","GRA-STU-1","","","Level","Student Level 1","","","","","","","","","","","80.00","0.00","No","Unlimited","","","","","","","",""
"","deeba30f-ab9f-4f59-8985-c8eb1f901727","","","","","","GRA-STU-2","","","Level","Student Level 2","","","","","","","","","","","80.00","0.00","No","Unlimited","","","","","","","",""
"","db394ac3-b578-49cc-9fd5-9e6ac88a6c16","","","","","","GRA-STU-3","","","Level","Student Level 3","","","","","","","","","","","80.00","0.00","No","Unlimited","","","","","","","",""
"","3dd84968-5d80-42a5-9aa7-c4a9d53c46d5","","","","","","GRA-STU-4","","","Level","Student Level 4","","","","","","","","","","","100.00","0.00","No","Unlimited","","","","","","","",""
"","f68b38eb-7182-401c-bdc7-fe6238611f9b","","","","","","GRA-STU-5","","","Level","Student Level 5","","","","","","","","","","","150.00","0.00","No","Unlimited","","","","","","","",""
"","94431505-8b59-4a28-ab32-972ddbbb190e","","","","","","GRA-STU-6","","","Level","Student Level 6","","","","","","","","","","","150.00","0.00","No","Unlimited","","","","","","","",""
"","becb9092-0917-42f2-8314-ff4202bc1793","","","","","","GRA-STU-7","","","Level","Student Level 7","","","","","","","","","","","250.00","0.00","No","Unlimited","","","","","","","",""
"","ea106e47-bd3a-4757-b9a2-9a641686ab16","","","","","","GRA-STU-8","","","Level","Student Level 8","","","","","","","","","","","300.00","0.00","No","Unlimited","","","","","","","",""
"","733fb2f8-4c52-4137-82d8-73ba7f0b3f47","","","","","","GRA-STU-9","","","Level","Student Level 9","","","","","","","","","","","350.00","0.00","No","Unlimited","","","","","","","",""
"","6f733660-03f0-4cc5-aa67-8ce872c9c159","","","","","","GRA-STU-10","","","Level","Student Level 10","","","","","","","","","","","400.00","0.00","No","Unlimited","","","","","","","",""
"","4b549be3-562d-4eab-9aa4-4a7985323c36","","","","","","GRA-STU-11","","","Level","Student Level 11","","","","","","","","","","","500.00","0.00","No","Unlimited","","","","","","","",""
"","f1acd500-670c-443a-b7e8-ce9a6fb25ce3","","","","","","GRA-STU-MED","","","Level","Meditation & Philosophy","","","","","","","","","","","100.00","0.00","No","Unlimited","","","","","","","",""
"69993dea1c057764f6c8b5e1","a932aad8-239f-4bcc-b4d4-4dd4e9a6f4fb","SERVICE","products","membership-lifetime","MEMBERSHIP : Life","<p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Become a member of the Chin Family I Liq Chuan Association and embark on a rewarding journey of self-discovery and growth.</p><p style=""text-align: start; ; white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong>Here’s what awaits you:</strong></p><ul data-rte-list=""default""><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong>Master the Art:</strong> Progress through the I Liq Chuan ranking system, a testament to your dedication and skill.</p></li><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong>Become an Instructor (Optional):</strong> Earn your certification and share your passion by building your own I Liq Chuan classes.</p></li><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong>Travel and Train:</strong> Enjoy exclusive discounts on I Liq Chuan workshops held around the world, connect with fellow practitioners, and learn from renowned instructors.</p></li><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong>Local Perks:</strong> Many regional instructors offer additional benefits to their students. Find an instructor near you and explore the possibilities!</p></li></ul>","MEM-LIFE-REG","","","Membership for","Life : Regular","","","","","","","","","","","850.00","0.00","No","Unlimited","/membership","Memberships, Gradings, Discipleships","","","","","Yes","https://images.squarespace-cdn.com/content/v1/6779aa493bf8f707711e50e7/01e9d397-8a05-4a38-bd5c-a29431a49e9e/Life+Membership+Icon.png"
"","a5068185-4b70-4d9f-9d37-3a91c36bcd99","","","","","","MEM-LIFE-SEN","","","Membership for","Life : Senior","","","","","","","","","","","550.00","0.00","No","Unlimited","","","","","","","",""
"6999404b0ccc755adde0f466","54eec701-ec11-478c-9b2f-ad1b9fa43305","SERVICE","products","license-school","LICENSE : School (YEARLY)","<h3 style=""text-align: start; ; white-space:pre-wrap;"" data-rte-preserve-empty=""true"">School License </h3><p style=""text-align: start; ; white-space:pre-wrap;"" data-rte-preserve-empty=""true"">This license grants the permission to establish and operate an I Liq Chuan school, certify students and offer a variety of programs. Note that every school requires a certified instructor to lead classes; this may be the owner of the school, but a school owner may also employ other instructors.</p>","LIS-SCH-YRL","","","Type","LICENSE : School Yearly","","","","","","","","","","","600.00","0.00","No","Unlimited","/license","License, Instructor, Group Leader, Organizer","","","","","Yes","https://images.squarespace-cdn.com/content/v1/6779aa493bf8f707711e50e7/da729daf-59a0-46bc-b1c5-6ba5c9f849ca/school+license+year.png"
"699bead144195311c2c026a1","7bacab30-aa1c-4acf-b71b-bc31a3ece5fd","SERVICE","products","class-video-library","VIDEO : Class Video Library","<p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong>A curated collection of training resources that we regularly update.</strong> The library contains recordings from our weekly online classes and add special highlights from our live workshops throughout the year. It’s a great way to catch up on what you missed or dive deeper into specific training at your own pace.</p><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Log into the Members Portal to gain access. </p><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""></p>","VID-LIBRARY","","","","","","","","","","","","","","","7.99","5.99","No","Unlimited","/videos","Class, Videos","","","","","Yes","https://images.squarespace-cdn.com/content/v1/6779aa493bf8f707711e50e7/02a40d67-874b-4dd6-aa58-1f458431cf0d/Class+Video+Library+Cover.png"
"69a20367cf9f9e7ac577fd0e","095fed62-dfda-41f8-a73e-897eab5a6be1","SERVICE","products","life-membership-spouse","MEMBERSHIP : Life + Spouse","<p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Pay once to cover for both you and your spouse! </p><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Become a member of the Chin Family I Liq Chuan Association and embark on a rewarding journey of self-discovery and growth. </p><p style=""text-align: start; ; white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong>Here’s what awaits you:</strong></p><ul data-rte-list=""default""><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong>Master the Art:</strong> Progress through the I Liq Chuan ranking system, a testament to your dedication and skill.</p></li><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong>Become an Instructor (Optional):</strong> Earn your certification and share your passion by building your own I Liq Chuan classes.</p></li><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong>Travel and Train:</strong> Enjoy exclusive discounts on I Liq Chuan workshops held around the world, connect with fellow practitioners, and learn from renowned instructors.</p></li><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong>Local Perks:</strong> Many regional instructors offer additional benefits to their students. Find an instructor near you and explore the possibilities!</p></li></ul>","MEM-LIFE-SPOUSE","","","Type","Life + Spouse : Regular","","","","","","","","","","","900.00","0.00","No","Unlimited","/membership","","","","","","Yes","https://images.squarespace-cdn.com/content/v1/6779aa493bf8f707711e50e7/c6180997-4ab2-4330-b118-7b03fdc0d2e5/Memberships++Licensing+thumbnails.png"
"","e2a8a0f8-1218-456e-8db9-286d8e90e36d","","","","","","MEM-LIFE-SENS","","","Type","Life + Spouse : Senior","","","","","","","","","","","600.00","0.00","No","Unlimited","","","","","","","",""
"69a3a553db7fc05e5f349587","084574a0-067f-4005-9cc4-adc43745cabd","SERVICE","products","license-school-monthly","LICENSE : School (MONTHLY)","<p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">SUBSCRIBE MONTHLY</p><h3 style=""text-align: start; ; white-space:pre-wrap;"" data-rte-preserve-empty=""true"">School License </h3><p style=""text-align: start; ; white-space:pre-wrap;"" data-rte-preserve-empty=""true"">This license grants the permission to establish and operate an I Liq Chuan school, certify students and offer a variety of programs. Note that every school requires a certified instructor to lead classes; this may be the owner of the school, but a school owner may also employ other instructors.</p>","LIS-SCH-MTH","","","","","","","","","","","","","","","60.00","0.00","No","Unlimited","/license","","","","","","Yes","https://images.squarespace-cdn.com/content/v1/6779aa493bf8f707711e50e7/7c65105d-aec8-4307-9477-9f4eb4ae076c/3.png"
"69f28464f691fe20c135eaf5","3208fe27-f603-48fb-a126-45935ecf22c3","SERVICE","products","class-payment","CLASS : Pre-Payment","<p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">This option is used to submit payment for GM Sam F.S. Chin’s one day workshop that is open for online participation. Option to pre-order the recorded workshop is also available. </p><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">&nbsp;</p>","ZOOM-LIVE-VID","","","ADDITIONAL OPTIONS","JOIN LIVE ON ZOOM + ADD PRE-ORDER VIDEO","","","","","","","","","","","55.00","0.00","No","Unlimited","/workshops-classes","Zoom, Saturday Classes, GM Sam F.S. Chin","","","","","Yes","https://images.squarespace-cdn.com/content/v1/6779aa493bf8f707711e50e7/b53f8a4b-4daa-491e-9e58-c6dc7e33b80e/Class+Pre-Payment.png"
"","d769faef-7dc9-4f1e-9d5e-bfee7bd8a53d","","","","","","ZOOM-ONLY","","","ADDITIONAL OPTIONS","JOIN LIVE ON ZOOM ONLY","","","","","","","","","","","45.00","0.00","No","Unlimited","","","","","","","",""
"","b89b17d4-bef7-41eb-9400-29fc73ebb078","","","","","","ZOOM-ONLY-VID","","","ADDITIONAL OPTIONS","PRE-ORDER VIDEO ONLY","","","","","","","","","","","45.00","0.00","No","Unlimited","","","","","","","",""
"6a26edc258b73f530a6ef93e","2e3ec7a5-4ad1-4e85-a031-2a80b05c95c0","SERVICE","products","jy0npf3k194n9ovlt98j0zutim3ufk","","","SQ6691492","","","","","","","","","","","","","","","0.00","0.00","No","Unlimited","/workshops-classes","","","","","","No",""
"6a26edc4b0e5de6b25291cb8","506fbe09-0d9c-4f25-a2ee-afa533ac62d7","SERVICE","products","ugh280ew7lngqkele4mktk3kk09aqu","","","SQ6691589","","","","","","","","","","","","","","","0.00","0.00","No","Unlimited","/workshops-classes","","","","","","No",""
